key,key:lecturer,title,abstr,time,lectureNature,link
lecture-01,lecturer-01,sample-title,sample-abstract,3.78,THEORETICAL,https://es.wikipedia.org/wiki/Clase
lecture-02,lecturer-01,sample-title,sample-abstract,3.78,THEORETICAL,
lecture-03,lecturer-01,sample-title,sample-abstract,3.78,THEORETICAL,https://es.wikipedia.org/wiki/Clase
lecture-04,lecturer-01,sample-title,sample-abstract,39.78,THEORETICAL,https://es.wikipedia.org/wiki/Clase
lecture-05,lecturer-02,sample-title,sample-abstract,389.9,THEORETICAL,https://es.wikipedia.org/wiki/Clase
lecture-06,lecturer-02,sample-title-sample-title-sample-title-sample-title-sample-title-sample-tit,sample-abstract,78.1,THEORETICAL,https://es.wikipedia.org/wiki/Clase
lecture-07,lecturer-02,sample-title,sample-abstract-sample-abstract-sample-abstract-sample-abstract-sample-abstract-sample-abstract-samp,78.1,THEORETICAL,https://es.wikipedia.org/wiki/Clase
lecture-08,lecturer-02,s,sample-abstract,78.1,THEORETICAL,https://es.wikipedia.org/wiki/Clase
lecture-09,lecturer-02,sample-title,s,78.1,THEORETICAL,https://es.wikipedia.org/wiki/Clase
lecture-10,lecturer-02,sample-title,<script>alert('sample-abstract')</script>,78.1,THEORETICAL,https://es.wikipedia.org/wiki/Clase
lecture-11,lecturer-02,<script>alert('sample-title')</script>,sample-abstract,78.1,THEORETICAL,https://es.wikipedia.org/wiki/Clase
lecture-12,lecturer-01,sample-title,樣本摘要,3.78,THEORETICAL,https://es.wikipedia.org/wiki/Clase
lecture-13,lecturer-01,樣本標題,sample-abstract,3.78,THEORETICAL,https://es.wikipedia.org/wiki/Clase
lecture-14,lecturer-01,sample-title-ñ,sample-abstract,3.78,THEORETICAL,https://es.wikipedia.org/wiki/Clase
lecture-15,lecturer-01,sample-title,sample-abstract-ñ,3.78,THEORETICAL,https://es.wikipedia.org/wiki/Clase
lecture-16,lecturer-01,sample-title-é,sample-abstract,3.78,THEORETICAL,https://es.wikipedia.org/wiki/Clase
lecture-17,lecturer-01,sample-title,sample-abstract-é,3.78,THEORETICAL,https://es.wikipedia.org/wiki/Clase
lecture-18,lecturer-01,sample-title,sample-abstract,3.78,HANDS_ON,https://es.wikipedia.org/wiki/Clase
